"GeneSet","gene"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","CD96"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","MPEG1"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","BLNK"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","BATF"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","C1QC"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","C1orf162"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","CCDC69"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","CCR2"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","GPR132"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","TRAF3IP3"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","LILRB1"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","WAS"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_data_driven","DPYD"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","IL15RA"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","PIK3AP1"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","PLEK"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","TMEM176B"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","MNDA"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","CTSC"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","PTPN6"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","CD53"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","LST1"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","LYZ"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","TYROBP"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","FCER1G"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","AIF1"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","CD14"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","FCGR3A"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","CD68"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","C1QA"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","C1QB"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","C1QC"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","S100A8"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","S100A9"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","IL1B"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","CXCL8"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","TREM1"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","SPP1"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","LILRB2"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","FOXP3"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","IL2RA"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","CTLA4"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","TIGIT"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","ENTPD1"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","IKZF2"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","CCR8"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","TNFRSF18"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","DAPP1"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","TNFAIP8"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","NCF4"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","CCL3"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","HCK"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","TMEM176A"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","CD300LF"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","CD52"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","SRGN"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","ST8SIA4"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","LCP1"
"Myeloid_Treg_Immunosuppressive_SUPPRESS_hybrid","SASH3"
