"state","gene"
"Tumor_dedifferentiation_Stromal_remodeling","SLIT2"
"Tumor_dedifferentiation_Stromal_remodeling","SOCS3"
"Tumor_dedifferentiation_Stromal_remodeling","SOX9"
"Tumor_dedifferentiation_Stromal_remodeling","SULF2"
"Tumor_dedifferentiation_Stromal_remodeling","TADA3"
"Tumor_dedifferentiation_Stromal_remodeling","TGFB1"
"Tumor_dedifferentiation_Stromal_remodeling","TGFB3"
"Tumor_dedifferentiation_Stromal_remodeling","TGFBI"
"Tumor_dedifferentiation_Stromal_remodeling","THBS1"
"Tumor_dedifferentiation_Stromal_remodeling","THY1"
"Tumor_dedifferentiation_Stromal_remodeling","TIMP1"
"Tumor_dedifferentiation_Stromal_remodeling","TMEM2"
"Tumor_dedifferentiation_Stromal_remodeling","TNC"
"Tumor_dedifferentiation_Stromal_remodeling","TNFRSF1A"
"Tumor_dedifferentiation_Stromal_remodeling","TP53I11"
"Tumor_dedifferentiation_Stromal_remodeling","TPBG"
"Tumor_dedifferentiation_Stromal_remodeling","UNC5B"
"Tumor_dedifferentiation_Stromal_remodeling","VCAN"
"Tumor_dedifferentiation_Stromal_remodeling","VDR"
"Tumor_dedifferentiation_Stromal_remodeling","VIM"
"Tumor_dedifferentiation_Stromal_remodeling","WNT5A"
"Tumor_dedifferentiation_Stromal_remodeling","ZEB1"
"Tumor_dedifferentiation_Stromal_remodeling","ZNF385A"
"Tumor_dedifferentiation_Stromal_remodeling","ZYX"
