"gene","spearman_rho","p_value","fdr"
"HVCN1",0.804006968641115,2.44388286502117e-10,2.38774993046521e-08
"RCSD1",0.803658536585366,2.52151516684174e-10,2.45083435309762e-08
"APBB1IP",0.803484320557491,2.56119168300479e-10,2.45129565211667e-08
"PLCG2",0.803484320557491,2.56119168300479e-10,2.45129565211667e-08
"SH2D2A",0.803484320557491,2.56119168300479e-10,2.45129565211667e-08
"CFLAR",0.803310104529617,2.60145227318878e-10,2.47719000978418e-08
"BTLA",0.802735311532816,2.73852791771964e-10,2.59454773780317e-08
"CTSS",0.802613240418119,2.76849684996601e-10,2.60976042253831e-08
"IFI30",0.802439024390244,2.81179981448627e-10,2.62420660298249e-08
"PRR5L",0.802439024390244,2.81179981448627e-10,2.62420660298249e-08
"DOCK8",0.801567944250871,3.03799271879408e-10,2.82127254514149e-08
"CD163",0.800871080139373,3.23109624806541e-10,2.97118306458132e-08
"NCF1",0.800871080139373,3.23109624806541e-10,2.97118306458132e-08
"CEACAM21",0.800383292714435,3.37303690856803e-10,3.08657557891843e-08
"IL10RA",0.799825783972126,3.54240752717621e-10,3.22582634962614e-08
"ARHGAP30",0.799477351916376,3.65226929373782e-10,3.3098028831511e-08
"CD72",0.798780487804878,3.88162841318239e-10,3.50074362513887e-08
"THEMIS2",0.798606271777004,3.94103865567278e-10,3.52396114321806e-08
"CD226",0.798553944744583,3.95904849382136e-10,3.52396114321806e-08
"GMIP",0.798432055749129,4.00129923506289e-10,3.52396114321806e-08
"INPP5D",0.798432055749129,4.00129923506289e-10,3.52396114321806e-08
"SIGLEC7",0.798432055749129,4.00129923506289e-10,3.52396114321806e-08
"PARP15",0.798344302366549,4.03197835791456e-10,3.53438701009903e-08
"SLA",0.798257839721255,4.06242146614995e-10,3.54450996667474e-08
"TGM2",0.797212543554007,4.44790087371638e-10,3.86287835602063e-08
"RAB37",0.796654481513693,4.66746195145479e-10,4.03488104826453e-08
"PSMB10",0.796515679442509,4.72362526719107e-10,4.04614093092408e-08
"RASGEF1B",0.796515679442509,4.72362526719107e-10,4.04614093092408e-08
"SIRPB2",0.795993031358885,4.94082885776495e-10,4.21295493376421e-08
"CLEC10A",0.795818815331011,5.01528299398031e-10,4.25709021194917e-08
"CXCR6",0.795644599303136,5.09078608234725e-10,4.30171423958343e-08
"CLEC4A",0.795296167247387,5.24499421967502e-10,4.41214558595891e-08
"SH2D1A",0.795121951219512,5.32372723732018e-10,4.45838389486113e-08
"ITGAL",0.794947735191638,5.40356514816744e-10,4.50513238286546e-08
"SCIMP",0.794895248804878,5.42783680544745e-10,4.50534471829154e-08
"CLEC7A",0.794773519163763,5.48452236149025e-10,4.53234162903946e-08
"SLA2",0.794599303135889,5.56661345991307e-10,4.54873803448547e-08
"LTB",0.7945635248693,5.58361396528744e-10,4.54873803448547e-08
"IL2RB",0.794425087108014,5.64985320131732e-10,4.54873803448547e-08
"NAAA",0.794425087108014,5.64985320131732e-10,4.54873803448547e-08
"P2RY13",0.794425087108014,5.64985320131732e-10,4.54873803448547e-08
"CD8B",0.794250871080139,5.73425652076612e-10,4.59696231081418e-08
"ITK",0.794076655052265,5.81983853244851e-10,4.64571706511496e-08
"ABI3",0.79390243902439,5.9066145316424e-10,4.69500771182541e-08
"NKG7",0.793554006968641,6.08381059103709e-10,4.79632958618434e-08
"CCR4",0.793551273589105,6.0852201157411e-10,4.79632958618434e-08
"HLA-DRA",0.792508710801394,6.64570285681703e-10,5.17289377141206e-08
"LRRC25",0.792508710801394,6.64570285681703e-10,5.17289377141206e-08
"STAT4",0.792508710801394,6.64570285681703e-10,5.17289377141206e-08
"HLA-DMB",0.79236900637032,6.72437543199404e-10,5.21250242680893e-08
"MS4A6A",0.792160278745645,6.84354230515536e-10,5.28304568322673e-08
"CD86",0.791637630662021,7.15065683251843e-10,5.47506822535564e-08
"NR1H3",0.791637630662021,7.15065683251843e-10,5.47506822535564e-08
"FGD3",0.791463414634146,7.25586091294267e-10,5.53303637666226e-08
"ARL11",0.791289198606272,7.36251153662286e-10,5.54672104078346e-08
"IL33",0.791289198606272,7.36251153662286e-10,5.54672104078346e-08
"MAP3K8",0.791289198606272,7.36251153662286e-10,5.54672104078346e-08
"EVI2B",0.790940766550523,7.58022653564313e-10,5.64275672944958e-08
"PTPRCAP",0.790940766550523,7.58022653564313e-10,5.64275672944958e-08
"STX11",0.790940766550523,7.58022653564313e-10,5.64275672944958e-08
"AMPD3",0.790243902439025,8.03384270961173e-10,5.9567927031465e-08
"P2RY14",0.79006968641115,8.1511488157235e-10,6.01997640291957e-08
"GPR174",0.789858872419416,8.29523983069712e-10,6.10236878368813e-08
"CCL8",0.789547038327526,8.51275196525061e-10,6.21364646366288e-08
"SEL1L3",0.789547038327526,8.51275196525061e-10,6.21364646366288e-08
"FGL2",0.789198606271777,8.76209723629955e-10,6.37085976960245e-08
"PARVG",0.788850174216028,9.01826031079263e-10,6.53179711081695e-08
"NLRC3",0.788116408549088,9.58079196593665e-10,6.88515049098995e-08
"TMEM150B",0.788101945716122,9.59220251245403e-10,6.88515049098995e-08
"TSTD1",0.78801341596591,9.66232609184886e-10,6.88515049098995e-08
"MAPK13",0.787979094076655,9.68964086369927e-10,6.88515049098995e-08
"MCUB",0.787979094076655,9.68964086369927e-10,6.88515049098995e-08
"CR1",0.787767915775023,9.85930068008528e-10,6.97926873425358e-08
"BCL11B",0.787664968733557,9.94301138621175e-10,7.00550638797808e-08
"TLR4",0.787630662020906,9.97105499008554e-10,7.00550638797808e-08
"ITGB7",0.787456445993032,1.01146108476458e-09,7.07985018249953e-08
"THEMIS",0.787189617211771,1.03382322786509e-09,7.20424467612962e-08
"HSD11B1",0.787108013937282,1.04075393530099e-09,7.20424467612962e-08
"PSD4",0.787108013937282,1.04075393530099e-09,7.20424467612962e-08
"ALOX5AP",0.786759581881533,1.07083857313549e-09,7.35819076683099e-08
"CTSW",0.786759581881533,1.07083857313549e-09,7.35819076683099e-08
"GPR171",0.786548191065794,1.08948496322085e-09,7.4589957755693e-08
"LY9",0.786199698291728,1.1208890682585e-09,7.64609382962227e-08
"TBC1D10C",0.786025451904696,1.1369066131955e-09,7.72725766555592e-08
"FAM105A",0.785714285714286,1.16604402801408e-09,7.89217977183887e-08
"SLAMF6",0.78567695913063,1.16958578632721e-09,7.89217977183887e-08
"GZMH",0.785540069686411,1.18266089992426e-09,7.95180495400685e-08
"GPR65",0.784668989547038,1.26911824436216e-09,8.50263898071064e-08
"CRTAM",0.784494773519164,1.28710388203132e-09,8.59244901175286e-08
"IKBKE",0.784320557491289,1.30532758206146e-09,8.65252300773533e-08
"SLC31A2",0.784320557491289,1.30532758206146e-09,8.65252300773533e-08
"PTAFR",0.78397212543554,1.34250090123723e-09,8.86759662193988e-08
"IL18",0.783449477351917,1.40012054882021e-09,9.21574083344506e-08
"LILRA5",0.783275261324042,1.41983521274969e-09,9.31282823635368e-08
"CCL22",0.783096996622095,1.44027640822665e-09,9.4139878543288e-08
"TNFSF8",0.782404181184669,1.52236097945103e-09,9.91596167136175e-08
"APOL3",0.781533101045296,1.63177409999842e-09,1.05918513293669e-07
"PLA2G7",0.781184668989547,1.67756280310419e-09,1.08515174563557e-07
"SLC15A3",0.781010452961673,1.70090481929145e-09,1.09646987989994e-07
"C1R",0.780487804878049,1.77276502910021e-09,1.13888010893462e-07
