"gene","spearman_rho","p_value","fdr"
"KRTAP3-3",-0.0668153104781061,0.678097674676374,0.85642188643736
"NOX3",-0.0668153104781061,0.678097674676374,0.85642188643736
"PRB4",-0.0668153104781061,0.678097674676374,0.85642188643736
"TRHR",-0.0668153104781061,0.678097674676374,0.85642188643736
"WFIKKN1",-0.0668153104781061,0.678097674676374,0.85642188643736
"ZACN",-0.0668153104781061,0.678097674676374,0.85642188643736
"AKAP11",-0.0668989547038328,0.677716493714522,0.85642188643736
"ARHGAP24",-0.0668989547038328,0.677716493714522,0.85642188643736
"GFPT1",-0.0668989547038328,0.677716493714522,0.85642188643736
"WDR5",-0.0668989547038328,0.677716493714522,0.85642188643736
"OTOL1",-0.0669357022193643,0.677549054093621,0.85642188643736
"EPHA6",-0.0669776008175509,0.677358162301058,0.85642188643736
"AKR7A2",-0.0670731707317073,0.676922816228348,0.85614853759625
"RHBDL3",-0.0670762322687277,0.676908871836384,0.85614853759625
"OR7D2",-0.0671861673930588,0.676408220550902,0.855613068733268
"NUBP2",-0.0672473867595819,0.676129483367036,0.855318158910394
"SPTLC3",-0.0672473867595819,0.676129483367036,0.855318158910394
"KRTAP9-2",-0.0673214987739428,0.675792101887455,0.855064349069659
"TTL",-0.0673374276521831,0.675719596729486,0.855030280947617
"CCZ1",-0.0674216027874565,0.675336495883611,0.854603165561296
"SDCCAG3",-0.0674216027874565,0.675336495883611,0.854603165561296
"TMPRSS11D",-0.0675741654220727,0.674642353439852,0.854128089908766
"C15orf65",-0.067595818815331,0.674543854530043,0.854061026399101
"MRPL14",-0.067595818815331,0.674543854530043,0.854061026399101
"NIPSNAP3B",-0.067595818815331,0.674543854530043,0.854061026399101
"FAM184B",-0.0676313638534408,0.67438217567102,0.854061026399101
"RPL22L1",-0.0677700348432056,0.673751560057252,0.853461105754203
"OR3A3",-0.0678968193398299,0.673175191796779,0.85301900992406
"GALNT9",-0.0679001936058105,0.673159854743394,0.85301900992406
"NDUFA12",-0.0679442508710802,0.672959613215103,0.852918680109596
"USE1",-0.0679442508710802,0.672959613215103,0.852918680109596
"CAPN14",-0.0679629911377289,0.672874444921588,0.852918680109596
"EIF5A",-0.0681184668989547,0.672168014752406,0.852433733689858
"UPB1",-0.0682875799732729,0.671399936893992,0.851689979455937
"ELOVL5",-0.0682956575411534,0.671363258435084,0.851689979455937
"ARF5",-0.0684668989547038,0.670585865955303,0.851060162333775
"ARL6",-0.0684668989547038,0.670585865955303,0.851060162333775
"RANBP1",-0.0684668989547038,0.670585865955303,0.851060162333775
"GDF3",-0.0684825782990032,0.670514702636291,0.851060162333775
"NKX2-8",-0.068493541822373,0.670464944544514,0.851060162333775
"FANCD2",-0.0686411149825784,0.669795317113215,0.850574759932765
"TBC1D22A",-0.0686411149825784,0.669795317113215,0.850574759932765
"VAMP4",-0.0686411149825784,0.669795317113215,0.850574759932765
"MYH2",-0.0686717867149674,0.669656172802775,0.850574759932765
"FBXO18",-0.068815331010453,0.669005119635207,0.849858944893129
"FEM1C",-0.068815331010453,0.669005119635207,0.849858944893129
"KLHL36",-0.068815331010453,0.669005119635207,0.849858944893129
"PNISR",-0.068815331010453,0.669005119635207,0.849858944893129
"EPO",-0.0688646849922566,0.668781327096822,0.849858944893129
"C11orf95",-0.0689895470383275,0.668215274264775,0.84925815243448
"DTX2",-0.0689895470383275,0.668215274264775,0.84925815243448
"EXOC5",-0.0689895470383275,0.668215274264775,0.84925815243448
"KLF16",-0.0689895470383275,0.668215274264775,0.84925815243448
"DDN",-0.0691287489676777,0.667584426314425,0.848858961108405
"MRPL33",-0.0691637630662021,0.667425781744348,0.848745478924235
"CEP112",-0.0693379790940767,0.666636642815283,0.847941197624891
"FKBP1A",-0.0693379790940767,0.666636642815283,0.847941197624891
"MAP3K12",-0.0693379790940767,0.666636642815283,0.847941197624891
"TMIGD3",-0.0693379790940767,0.666636642815283,0.847941197624891
"ADRA1A",-0.069656704850253,0.665193841947092,0.846680097780261
"MSH6",-0.0696864111498258,0.665059428691302,0.846566453336509
"TCEAL5",-0.0697462300095717,0.664788795350438,0.846394258991371
"DNAJC17",-0.0698606271777004,0.664271354973731,0.845850281560699
"PHOSPHO2",-0.0698606271777004,0.664271354973731,0.845850281560699
"LGI1",-0.0698829486895799,0.664170408404222,0.845850281560699
"OLFM3",-0.0699069225439696,0.664061995819227,0.845850281560699
"KRT13",-0.0699987555887398,0.663646778522994,0.845456700734319
"PFN4",-0.0700348432055749,0.663483637802207,0.845363686852653
"PRKAB1",-0.0700348432055749,0.663483637802207,0.845363686852653
"TMEM126B",-0.0700348432055749,0.663483637802207,0.845363686852653
"CHST12",-0.070047047587162,0.663428469115281,0.845363686852653
"CDHR1",-0.0701879813580302,0.662791519204716,0.844940952005522
"RPS21",-0.0702090592334495,0.662696277912706,0.844876952383068
"OGFR",-0.0703832752613241,0.661909276040122,0.844160453411968
"KDM7A",-0.0705574912891986,0.661122632918263,0.843673433395489
"GRK1",-0.0706007694878597,0.660927273218206,0.843653696128221
"ACR",-0.0706229284314797,0.660827255358828,0.843640838660423
"LYG2",-0.070793667765149,0.660056791966615,0.842898664175021
"NT5C",-0.0709059233449478,0.659550425856526,0.842354741192986
"PPP1CC",-0.0709059233449478,0.659550425856526,0.842354741192986
"SCUBE2",-0.0709059233449478,0.659550425856526,0.842354741192986
"TPM3",-0.0709059233449478,0.659550425856526,0.842354741192986
"ZFP37",-0.0709059233449478,0.659550425856526,0.842354741192986
"CHPF",-0.0710801393728223,0.65876486337883,0.842039388942727
"GALC",-0.0710801393728223,0.65876486337883,0.842039388942727
"GOLGA1",-0.0710801393728223,0.65876486337883,0.842039388942727
"GPBP1L1",-0.0712543554006969,0.657979662576217,0.841379719854618
"RPS16",-0.0714285714285714,0.657194824177046,0.840834654667658
"GDNF",-0.0714545764115951,0.65707770357578,0.840799498047616
"ZBTB16",-0.0715164814437304,0.656798929788067,0.840557451486857
"DNAJB11",-0.071602787456446,0.656410348908582,0.840117468457126
"OLFM2",-0.071602787456446,0.656410348908582,0.840117468457126
"SLCO4C1",-0.0716083391342274,0.656385356303434,0.840117468457126
"RBM15",-0.0717770034843206,0.655626237496992,0.839400258613573
"IGSF9",-0.071944099774085,0.65487451312705,0.838724038489133
"C10orf82",-0.0719694035551918,0.654760707031535,0.838724038489133
"SCRG1",-0.0720139768023746,0.654560253479496,0.838665104502552
"ATF7",-0.0721254355400697,0.654059109143599,0.838137497672298
"ATR",-0.0721254355400697,0.654059109143599,0.838137497672298
"DDIAS",-0.0721254355400697,0.654059109143599,0.838137497672298
"MTSS1",-0.0721254355400697,0.654059109143599,0.838137497672298
"RPL17",-0.0721254355400697,0.654059109143599,0.838137497672298
"TGIF2",-0.0721254355400697,0.654059109143599,0.838137497672298
"E2F1",-0.0722996515679443,0.653276093648624,0.83759184203093
"EFNA3",-0.0722996515679443,0.653276093648624,0.83759184203093
"MARS",-0.0722996515679443,0.653276093648624,0.83759184203093
"TAF5",-0.0722996515679443,0.653276093648624,0.83759184203093
"KCND2",-0.0723019974579722,0.653265552525773,0.83759184203093
"PYDC2",-0.0723320474416978,0.653130530522658,0.83759184203093
"ADK",-0.0724738675958188,0.652493444904175,0.837046059834331
"TMEM134",-0.0724738675958188,0.652493444904175,0.837046059834331
"GALNT15",-0.0726480836236934,0.651711163630903,0.83632847985717
"PCED1A",-0.0726480836236934,0.651711163630903,0.83632847985717
"RAB30",-0.0726480836236934,0.651711163630903,0.83632847985717
"TRAPPC4",-0.0726480836236934,0.651711163630903,0.83632847985717
"SLC2A14",-0.0727403166876152,0.651297159027007,0.836083172941055
"FIGNL1",-0.072822299651568,0.650929250548348,0.83568601662674
"ARVCF",-0.0728349897796858,0.65087230936119,0.83568601662674
"BABAM1",-0.0729965156794425,0.650147706374942,0.835121940830425
"INPP5E",-0.0729965156794425,0.650147706374942,0.835121940830425
"MED21",-0.0729965156794425,0.650147706374942,0.835121940830425
"FAM110D",-0.0729996951779165,0.650133446374991,0.835121940830425
"FGF16",-0.0730562902462597,0.649879639000114,0.835120711604545
"NPAT",-0.0731707317073171,0.649366531828001,0.834575689953513
"TBPL1",-0.0731707317073171,0.649366531828001,0.834575689953513
"RNF215",-0.0731739187940929,0.649352244563361,0.834575689953513
"DIO1",-0.0731887822140817,0.64928561556559,0.834575689953513
"CBLN1",-0.073205914068742,0.649208821086882,0.834575689953513
"SLAMF9",-0.0732431423557099,0.649041955599913,0.83455878025216
"DPRX",-0.0732653641828809,0.648942360479284,0.834487917482238
